Symbol|Security Name|Market Category|Status|Test Issue
DWRKF|Draegerwerk AG & Co KGAA Dividend Rights Certificates Series D - Sub (Germany)|NBB||
DWSGF|Dawson Gold Corp. Ordinary Shares (Canada)|NBB||
DWTP|Drywave Technologies, Inc. Common Stock|BB|ACTIVE|
DWVYF|Derwent Valley Holdings Ord Ordinary Shares|NBB||
DXAEF|Doxa Energy Ltd. Ordinary Shares (Canada)|NBB||
DXBGF|Dexia SA Belgium Ordinary Shares|NBB||
DXBGY|Dexia SA Belgium Unsponsored ADR (Belgium)|NBB||
DXIN|Dong Xin Bio-Tech Pharmaceutical Inc Common Stock|NBB||
DXSPF|Dexus Property Group Stapled Security (Australia)|NBB||
DXXSF|DXStorm.com, Inc. Ordinary Shares|NBB||
DYAI|Dyadic International, Inc. Common Stock|NBB||
DYAP|Dynamic Applications Corp. Common Stock|NBB||
DYBO|Dynamic Biometric Systems, Inc. Common Stock|NBB||
DYCZF|Dynasty Ceramic Public Co Ltd Shares Foreign Registered New (Thailand)|NBB||
DYDIF|Dydo Drinco Inc Osaka Ordinary Shares|NBB||
DYER|Fifth Season International, Inc. Common Stock|NBB||
DYFSF|Dynacert Inc Common Shares (Canada)|NBB||
DYGO|Dynamic Gold Corp. Common Stock|NBB||
DYII|Dynacq Healthcare, Inc. Common Stock|NBB||
DYLI|Dynamic Leisure Corporation Common Stock|NBB||
DYLLF|Deep Yellow Limited Ordinary Shares (Australia)|NBB||
DYNA|Dynastar Holdings, Inc. NEW Common Stock|NBB||
DYNCF|Dynac Corp. Tokyo Ordinary Shares (Japan)|NBB||
DYNE|DynTek Inc. Common Stock New|NBB||
DYNM|Dynamic Media, Inc. Common Stock (FL)|NBB||
DYNR|Dynaresource Inc Common Stock|NBB||
DYNV|Dynamic Ventures Corp. Common Stock|NBB||
DYPKF|Dynapack International Technology Corp Ordinary Shares (Taiwan)|NBB||
DYRFF|Dunes Exploration Ltd. Ordinary Shares (Canada)|NBB||
DYSOF|Dyesol Ltd Ordinary Shares (Australia)|NBB||
DYSOY|Dyesol Ltd Sponsored ADR (Australia)|NBB||
DYTM|Dynatem Inc. Common Stock|NBB||
DYXC|DiaSys Corporation Common Stock|NBB||
DZNA|Dezina Marketing, Inc. Common Stock|NBB||
EAATF|Earthworks Industries Inc Ordinary Shares|NBB||
EACBF|Eastern Communications Co B Ordinary Shares|NBB||
EACC|eAutoclaims, Inc. Common Stock|NBB||
EACO|EACO Corporation Common Stock|NBB||
EACR|EARN-A-CAR INC. Common Stock|NBB||
EADSF|AIRBUS GROUP N V Ordinary Shares (Netherlands)|NBB||
EADSY|Airbus Group Unsponsored ADR (Netherlands)|NBB||
EAHC|Explore Anywhere Holding Corp. Common Stock|NBB||
EAIAF|East Asia Minerals Corp Common Shares (Canada)|NBB||
EANRF|Eastmain Res Inc Ordinary Shares|NBB||
EAPH|Easton Pharmaceuticals, Inc. Common Stock|NBB||
EARH|Earth Dragon Resources, Inc. Common Stock|NBB||
EARI|Entertainment Arts Research Inc Common Stock|NBB||
EASB|Easton Bancorp, Inc. Common Stock|NBB||
EAST|Eastern Security & Protection Services, Inc. Common Stock|NBB||
EATR|Eastern Asteria, Inc. Common Stock|NBB||
EAUI|EAU Technologies, Inc. Common Stock|NBB||
EAUSF|ETFS Metal Securities Austrailia Ltd Redeemable Pref Shs|NBB||
EAWD|Eurosport Active  World Corp. Common Stock|NBB||
EBCDF|ETFS Commodity Securities Ltd, St Helier RegD Individual Commodity Security 2006-Without Fixed (Maturity on Silver Commodity Index) (Jersey)|NBB||
EBCOF|Ebara Corp Ord Ordinary Shares|NBB||
EBCOY|Ebara Corp Ord American Depositary Shares|NBB||
EBDC|ebank Financial Services, Inc. Common Stock|NBB||
EBGUF|Enbridge Income Fund Holdings Ordinary Shares (Canada)|NBB||
EBIOF|Envitec Biogas AG Lohne Ordinary Shares (Germany)|NBB||
EBKDY|Erste Group Bank AG Sponsored ADR (Austria)|NBB||
EBKOF|Erste Group Bank AG Ordinary Shares (Austria)|NBB||
EBML|eBullion, Inc. Common|BB|ACTIVE|
EBODF|Renewable Energy Trade Board Corporation Common Stock|NBB||
EBOI|Enhance Biotech, Inc. Common Stock|NBB||
EBOSF|EBOS Group, Ltd. Ordinary Shares (New Zealand)|NBB||
EBOSY|EBOS Group, Ltd. Sponsored American Depository Receipt (New Zealand)|NBB||
EBRPF|Ebro Foods SA Barcelona (Spain)|NBB||
EBRPY|Ebro Foods SA Unsponsored ADR (Spain)|NBB||
EBSH|Empire Bancshares Inc Common Stock|NBB||
EBTTF|Elektrobit Group OYJ Ordinary Shares (Finland)|NBB||
EBYH|E-Buy Home Inc. Common Stock|NBB||
ECAM|Environmental Corp Of America Common Stock|NBB||
ECAOF|Eco Atlantic Oil Ordinary Shares (Canada)|NBB||
ECAU|Echo Automotive, Inc. Common Stock|NBB||
ECCE|Eagle Ford Oil & Gas, Corp. Common Stock|NBB||
ECCI|Ecoloclean Industries, Inc. Common Stock|NBB||
ECCO|E C Consulting International Inc Common Stock|NBB||
ECDC|East Coast Diversified Corporation Common Stock|NBB||
ECDI|EC Development, Inc. Common Stock|NBB||
ECDP|Eco Depot, Inc.  Common Stock|NBB||
ECDYF|Etfs Commodity Securities Ltd St Helier Certificates 2006-Without Fixed Maturity on Precious Metals DJ-AIGCI (Jersey)|NBB||
ECEZ|Ecosciences, Inc. Common Stock|NBB||
ECFNF|Ecofin Water & Power Opportunities plc (United Kingdom)|NBB||
ECGI|Event Cardio Group, Inc. Common Stock|NBB||
ECGP|Envit Capital Group, Inc. Common Stock (DE)|NBB||
ECHI|eCareer Holdings, Inc. Common Stock|BB|ACTIVE|
ECHRF|Echo Resources Ltd. Shs (Australia)|NBB||
ECIA|Encision Inc. Common Stock|NBB||
ECIFF|Electricite de France Edf Ordinary Shares (France)|NBB||
ECIFY|Electricite de France SA Unsponsored ADR (France)|NBB||
ECIG|Electronic Cigarettes International Group, Ltd. Common Stock|NBB||
ECMH|Encompass Holdings, Inc. Common Stock|NBB||
ECMLF|Ecometals Limited  Ordinary Shares CAD|NBB||
ECMT|Ecomat, Inc. Common Stock|NBB||
ECMZ|Ecoemissions Solutions, Inc.  Common Stock|NBB||
ECNI|EnterConnect Inc. Common Stock|NBB||
ECNRF|El Condor Minerals, Inc. Ordinary Shares (Canada)|NBB||
ECOB|Eco Building Products, Inc. Common shares|NBB||
ECOCQ|Ecology Coatings, Inc. Common Stock|NBB||
ECOGF|Econocom Group SA Ordinary Shares D (Belgium)|NBB||
ECOO|Easy Organic Cookery Inc Common Stock|NBB||
ECOP|Eco-Shift Power Corp. Common Stock|NBB||
ECOS|Ecolocap Solutions Inc Common Stock|NBB||
ECPCY|Estacio Participacoes SA Sponsored ADR (Brazil)|NBB||
ECPDF|ETFS Commodity Securities Ltd, St Helier REGD CERTIFICATES 2006 -WITHOUT FIXED MATURITY ON (SOFTS DJ -AIGCI) (Jersey)|NBB||
ECPL|EcoPlus Inc.  Common Stock|NBB||
ECPN|El Capitan Precious Metals, Inc. Common Stock|NBB||
ECPO|Eco-Petroleum Solutions, Inc. Common Stock|NBB||
ECRFF|Cartier Resources Inc. (Canada) Common Shares|NBB||
ECRO|ECC Capital Corp. comm stock|NBB||
ECRTF|Colombia Crest Gold Corp. Ordinary Shares (Canada)|NBB||
ECRY|eCrypt Technologies, Inc. Common Stock|BB|ACTIVE|
ECSL|Ecare Solutions Inc Common Stock|NBB||
ECSNF|Ecosynthetix, Inc. Ordinary Shares (Canada)|NBB||
ECSTF|ETFS Commodity Securities Ltd, St Helier Individual Commodity Security 2006 - Without Fixed Maturity (On Copper Commodtiy Index) (Jersey)|NBB||
ECSWF|Excapsa Software Inc Common Shares (Canada)|NBB||
ECTH|ecoTECH Energy Group, Inc Common Stock|NBB||
ECTYQ|Ecotality, Inc.  Common Stock|NBB||
ECUI|Ecuity, Inc. Common Stock|NBB||
ECVTF|Economic Investment Trust Ltd. Ordinary Shares (Canada)|NBB||
ECYAF|Etfs Commodity Securities Ltd St Helier Certificates 2006 Without Fixed Maturity on Agriculture DJ (Jersey)|NBB||
ECYCF|Etfs Commodity Securities Ltd St Helier Individual Commodity Security 2006 -Without Fixed Maturity on Soybeans Commodity Index (Jersey)|NBB||
ECYGF|Etfs Commodity Securities Ltd St Helier Certificates 2006 without Fixed Maturity on Natural Gas (Jersey)|NBB||
ECYIF|Etfs Commodity Securities Ltd St Helier Individual Commodity Security 2006-Without fixed maturity on Sugar Commodity Index (Jersey)|NBB||
ECYQF|Etfs Commodity Securities Ltd St Helier Indivdual Commodity Security 2006 - Without Fixed Maturity on Live Cattle Commodity Index (Jersey)|NBB||
ECYWF|Etfs Commodity Securities Ltd St Helier Individual Commodity Security 2006 Without Fixed Maturity on Wheat Commodity Index (Jersey)|NBB||
EDCFF|Endesa Costanera SA Ordinary Shares B 1 Vote (Argentina)|NBB||
EDCI|EDCI Holdings, Inc. Common Stock|NBB||
EDEP|Eldorado Expl Inc Common Stock|NBB||
EDESY|Elders Ltd Unsponsored ADR (Australia)|NBB||
EDGXF|Edge Resources Inc Ordinary Shares (Canada)|NBB||
EDHD|Edd Helms Group Inc Common Stock|NBB||
EDIG|e.Digital Corporation Common Stock|NBB||
EDIWF|Edinburgh Worldwide Investment Trust Ordinary Shares (United Kingdom)|NBB||
EDLNF|Brightpath Early Learning, Inc. Ordinary Shares Class A (Canada)|NBB||
EDMC|Education Management Corporation Common Stock|NBB||
EDNE|Eden Energy Corp. Common Stock|NBB||
EDNMF|Edenred, Malakoff Ordinary Shares (France)|NBB||
EDNMY|Edenred S A Unsponsored ADR (France)|NBB||
EDOLF|Endo Lighting Co Ordinary Shares (Japan)|NBB||
EDPFY|Energias De Portugal, S.A.|NBB||
EDRG|Eight Dragons Co. Common Stock|NBB||
EDRVF|EDP Renovais, SA Ordinary Shares (Spain)|NBB||
EDRVY|EDP Renovaveis SA Unsponsored ADR (Spain)|NBB||
EDRWY|Electric Pwr Dev Co Ltd ADR (Japan)|NBB||
EDTA|E-Data Corporation Common Stock|NBB||
EDVMF|Endeavour Mining Corporation Ordinary Shares (Cayman Islands) CAD|NBB||
EDVVF|Endeavour Mining Corporation Shares Chess Depositary Interests Representing 1 Share (Cayman Islands)|NBB||
EDWY|eDoorways International Corporation Common Stock|NBB||
EDWZF|Edgewater Exploration Ltd. Ordinary Shares (Canada)|NBB||
EDXC|Endexx Corporation Common Stock|NBB||
EEDG|Energy Edge Technologies Corporation Common|NBB||
EEEXF|ETFS Commodity Securities Ltd, St Helier Certificates 2006-Without Fixed Maturity on Industrial (Metals DJ-AIGCI)|NBB||
EEGC|Empire Energy Corporation International Common Stock|NBB||
EEGI|Eline Entertainment Group, Inc. Common Stock|NBB||
EEGNY|Empire Energy Group Ltd Sponsored ADR (Australia)|NBB||
EEGUF|Empire Energy Group Ltd Ordinary Shares (Australia)|NBB||
EEIHY|Enviro Energy International Holdings Limited American Depositary Shares (Sponsored) (Cayman Islands)|NBB||
EEKAF|Eltek Asa Ordinary Shares|NBB||
EENC|Emergent Energy Corporation Common Stock|NBB||
EENEF|Electrocomponents Ordinary Shares|NBB||
EENEY|Electrocomponents Unsponsored ADR (United Kingdom)|NBB||
EENR|Elite Energies, Inc. Common|NBB||
EENX|Energenx, Inc. Common Stock|NBB||
EENZF|Estrella International Energy Services Ltd. Ordinary Shares (Canada)|NBB||
EEPU|Eco Energy Pumps, Inc. Common Stock|NBB||
EEQU|Early Equine Inc Common Stock|NBB||
EESC|Eastern Environment Solutions Corp. Common Stock|NBB||
EESH|EESTech, Inc. Common Stock|NBB||
EESI|Encompass Energy Services, Inc.  Common Stock|NBB||
EESO|Enzyme Environmental Solutions, Inc. Common Stock (NV)|NBB||
EEVNF|E-ENERGY VENTURES INC Ordinary Shares|NBB||
EEXPF|East Capital Explorer AB Ordinary Shares (Sweden)|NBB||
EEXXF|Energy XXI (Bermuda) Limited Perpetual 7.25% Preferred Convertible|NBB||
EEYMF|Birimian Gold Ltd. Ordinary Shares (Australia)|NBB||
EEYUF|Essential Energy Services Ltd. Common Shares (Canada)|NBB||
EFCSF|ETFS Commodity Securities Ltd, St Helier Certificates 2006 -Without Fixed Maturity On Grains DJ  -AIGCI (Jersey)|NBB||
EFCT|EFactor Group Corp. Common Stock|NBB||
EFFC|Effective Control Transport Inc Common Stock Class A|NBB||
EFFI|EffTec International, Inc. Common Stock|NBB||
EFGHY|EFG Hermes Holdings SAE 144A|NBB||
EFGIF|EFG International Zuerich Namen-Akt.. Shares (Switzerland)|NBB||
EFGSY|Eiffage Sa Unsponsored ADR (France)|NBB||
EFGU|Empire Film Group, Inc. Common Stock|NBB||
EFGXY|EFG International AG ADR (Switzerland)|NBB||
EFGZF|EFG Hermes Holdings SAE Global Depositary Shares Reg S|NBB||
EFIN|Eastern Michigan Financial Corporation Common Stock|NBB||
EFIR|EGPI Firecreek, Inc.  Common Stock|NBB||
EFLI|Cell Tech International Inc Common Stock|NBB||
EFLN|eFUEL EFN Corp Common Stock|NBB||
EFLO|EFLO Energy, Inc. Common Stock|NBB||
EFLS|Exercise For Life Systems, Inc. Common Stock|NBB||
EFLT|eFleets Corporation Common Stock|NBB||
EFLTW|eFleets Corporation Warrants Expiring 12/31/2019|NBB||
EFLVF|Electrovaya, Inc. Ordinary Shares (Canada)|NBB||
EFMSF|ETF Metal Securities Ltd St Helier 0% Notes 2007- Without Fixed Maturity on Gold (Jersey)|NBB||
EFOT|Efotoxpress Inc Common Stock|NBB||
EFRMF|East Africa Metals, Inc. Ordinary Shares (Canada)|NBB||
EFRTF|Edgefront Real Estate Investment Trust Trust Unit (Canada)|NBB||
EFSG|Enterprise Financial Services Group, Inc. Cl-A Common Stock|NBB||
EFSI|Eagle Financial Services, Inc. (VA) Common Stock|NBB||
EFTB|EFT Holdings, Inc. Common Stock|NBB||
EFTI|EarthFirst Technologies, Inc. Common Stock|NBB||
EGBRF|Strategic Energy Resources Ltd.  Ordinary Shares (Australia)|NBB||
EGBS|Edge Business Services Corporation New Common Stock|NBB||
EGCO|Euro Group of Companies, Inc. Common Stock|NBB||
EGDBF|Energias Do Brasil Sa Ordinary Shares (Brazil)|NBB||
EGDCF|Energy Development Corporation Shs (Phillippines)|NBB||
EGDCY|Energy Development Corp. Unsponsored ADR (Phillippines)|NBB||
EGDD|Eastern Goldfields, Inc. Common Stock|NBB||
EGDFF|Energold Drilling Corp Ordinary Shares (Canada)|NBB||
EGDW|Edgewater Bancorp Inc. Common Stock|BB|ACTIVE|
EGFDF|Eagleford Energy Corp. (Canada) Common Stock|NBB||
EGFEF|E F G Eurobank Ergasias SA Ordinary Shares (Greece)|NBB||
EGFEY|E F G Eurobank Ergasias SA New Unsponsored ADR (Greece)|NBB||
EGFHF|EGI Finl Hldgs Inc Ordinary Shares (Canada)|NBB||
EGHSF|Enghouse Sys Ltd Ordinary Shares|NBB||
EGIG|Employers Genl Insurance Group Common Stock|NBB||
EGIL|Edgetech International, Inc. Common Stock|NBB||
EGKLF|Elringklinger Ag Dettingen Erms Namen AKT (Germany)|NBB||
EGKPF|Eagle Bulk Shipping Inc. Warrant Expiring 10/15/2021 (Marshall Islands)|NBB||
EGLA|Eagle Telephonics Inc Common Stock|NBB||
EGLDF|Ecuador Gold & Copper Corporation Common Shares (Canada)|NBB||
EGLP|Eagle Picher Inds Inc Common Stock|NBB||
EGMCF|Emgold Mining Corp Ordinary Shares|NBB||
EGML|EGM International, Inc. Common Stock|NBB||
EGOC|Energy 1 Corporation Common Stock|NBB||
EGOH|Eagle Oil Holding Company, Inc.  Common Stock|NBB||
EGPLF|Eagle Plains Resources, Ltd. (Canada) Ordinary Shares|NBB||
EGRAF|Energy Resources of Australia Ltd A Shares|NBB||
EGRAY|Energy Resources Of Austr Ltd Unsponsored ADR RPSTG A Shares (Australia)|NBB||
EGRKH|Entergy Arkansas, Inc. $4.56 (1965 Series) Preferred Stock|NBB||
EGRKI|Entergy Arkansas, Inc. $4.72 Preferred Stock|NBB||
EGRKM|Entergy Arkansas, Inc. $4.56 Preferred Stock|NBB||
EGRKN|Entergy Arkansas, Inc. $4.32 Preferred Stock|NBB||
EGRN|Evergreen-Agra, Inc. Common Stock|NBB||
EGRNF|Evergrande Real Estate Group Limited Ordinary Shares (Cayman Islands)|NBB||
EGRNY|Evergrande Real Estate Group Limited American Depositary Shares (Unsponsored) (Cayman Islands)|NBB||
EGRTF|El Tigre Silver Corp. Ordinary Shares (Canada)|NBB||
EGSNF|Energyo Solutions Russia AB Ordinary shares (Sweden)|NBB||
EGSWF|EmerGeo Solutions Worldwide Inc Common shares (Canada)|NBB||
EGTK|Energtek Inc. Common Stock|NBB||
EGTY|Energy & Asset Technology Inc. Common Stock|NBB||
EGVIQ|Eagle Ventures International, Inc. Common Stock|NBB||
EGXKP|Entergy Arkansas, Inc. 6.45% Preferred Stock|NBB||
EGXP|Eagle Exploration Company Common Stock|NBB||
EGYF|Energy Finders, Inc. Common Stock|NBB||
EGYH|Energy Holdings International, Inc. Common Stock|NBB||
EGYKP|Entergy Arkansas, Inc. $6.08 Preferred Stock|NBB||
EHECF|Eagle Hill Expl Corp Common (Canada)|NBB||
EHGRF|Echo Entertainment Group Ltd Ordinary Shares (Australia)|NBB||
EHGSF|ETFS Commodity Securities Ltd, St Helier Individual Commodity Security 2006 - Without Fixed Maurity On Lean Hogs Commodity Index (Jersey)|NBB||
EHITF|Edinburgh Investment Trust Ordinary Shares|NBB||
EHMEF|easyhome, Ltd. Ordinary Shares (Canada)|NBB||
EHOS|Ehouse Global, Inc. Common|BB|ACTIVE|
EHPTP|Eagle Hospitality Pptys Tr Inc Preferred|NBB||
EHSI|Emerging Healthcare Solutions, Inc. Common Stock|NBB||
EHSK|Enhance Skin Products Inc. Common Stock|NBB||
EHYD|Ehydrogen Solutions, Inc. Common Stock|NBB||
EIDAF|Eidai Co Ltd Ordinary Shares (Japan)|NBB||
EIDXF|Eid Parry India Ltd Reg S GDR (India)|NBB||
EIDXY|Eid Parry India Ltd 144A|NBB||
EIFZF|Exchange Income Corp. Ordinary Shares (Canada)|NBB||
EIGH|8000 Inc Common|NBB||
EIHC|Environmental Infrastructure Holdings Corp. Common Stock|NBB||
EIHDF|888 Holdings plc Ordinary Shares (Gibraltar)|NBB||
EIHLY|Eih Ltd Ord 144A|NBB||
EIHZF|Eih Ltd American Depositary Shares Reg S (India)|NBB||
EILL|Elegant Illusions, Inc. Common Stock|NBB||
EINF|Enterprise Informatics Inc. Common Stock|NBB||
EIPAF|Eni Spa Roma Ordinary Shares|NBB||
EIPC|Enable IPC Corp. Common Stock|NBB||
EITOF|EI Towers Ordinary Shares (Italy)|NBB||
EITWY|EI Tower Spa Unsponsored ADR (Italy)|NBB||
EITZF|Eitzen Chemical ASA Ordinary Shares (Norway)|NBB||
EITZY|Eitzen Chemical ASA Unsponsored ADR (Norway)|NBB||
EIVTY|Echo Investment SA Unsponsored ADR (Poland)|NBB||
EJMLL|Fantex Fantex Series EJ Manuel Convertible Tracking Stock|NBB||
EJPRF|East Japan Railway Co Ordinary Shares|NBB||
EJPRY|East Japan Railway Co Unsponsored ADR (Japan)|NBB||
EJTTF|Easyjet Plc Ordinary Shares GBP 0.27285714 (United Kingdom)|NBB||
EKCS|Electronic Control Security Inc Common Stock|NBB||
EKDHF|EKF Diagnostics Holdings PLC Ordinary Shares (United Kingdom)|NBB||
EKFC|Eureka Financial Corporation Common Stock (Maryland)|NBB||
EKGGF|Cardiocomm Solutions Inc New Ordinary Shares|NBB||
EKIVY|Enka Insaat Ve Sanayi AS Unsponsored ADR (Turkey)|NBB||
EKKGF|Emlak Konut Gayrimenkul Yatirim Ortakligi A.S. Shs (Turkey)|NBB||
EKNL|EKO International Corp NEW Common Stock|NBB||
EKONF|E-Kong Group Ltd Ordinary Shares|NBB||
EKONY|E-Kong Group Ltd American Depositary Shares|NBB||
EKPTF|Elk Petroleum Ltd Ordinary shares (Australia)|NBB||
EKRNF|Ekornes Asa Nok 1 Ord Ordinary Shares|NBB||
EKSKF|Eiker Sparebank ASA Ordinary Shares (Norway)|NBB||
EKSO|Ekso Bionics Holdings, Inc. Common Stock|BB|ACTIVE|
EKTAF|Elekta B Shs Ordinary Shares|NBB||
EKTAY|Elekta B Shs Unsponsored ADR representing B Shares (Sweden)|NBB||
EKWX|Ekwan-X, Inc. Common Stock|NBB||
ELALF|El Al Ltd Ordinary Shares (Israel)|NBB||
ELALY|EL AL Israel Airlines Ltd Unsponsored ADR (Israel)|NBB||
ELAMF|Elamex S.A. de C.V. Ordinary Shares|NBB||
ELAY|eLayaway, Inc. Common Stock|NBB||
ELBDF|Elbit Medical Technologies Ltd. Ordinary Shares (Israel)|NBB||
ELCGF|Electra Gold Ltd Ordinary Shares|NBB||
ELCI|Eastern Light Capital, Incorporated Common Stock|NBB||
ELCMF|Elecom Company Ltd Osaka Ordinary Shares|NBB||
ELCO|Elcom International, Inc.  Common Stock|NBB||
ELCPF|EDP Energias de Portugal SA Ordinary Reg Shares (Portugal)|NBB||
ELCR|Electric Car Company, Inc. Common Stock|NBB||
ELDO|Eldorado Artesian Springs, Inc. Common Stock|NBB||
ELED|Energie Holdings, Inc. Common Stock|NBB||
ELEEF|Element Financial Corporation Common Shares (Canada)|NBB||
ELETY|Element One Limited Sponsored ADR (South Africa)|NBB||
ELEV|Elevate, Inc.  Common Stock|NBB||
ELEZF|Endesa S.A. Ordinary Shares|NBB||
ELEZY|Endesa S.A. Unsponsored American Depository Receipt (Spain)|NBB||
ELFGF|Total Gabon Nom Shares (Gabon)|NBB||
ELFIF|E L Finl Corporation Ltd Ordinary Shares|NBB||
ELGO|Enterologics Inc Common Stock|NBB||
ELGSF|DuSolo Fertilizers Inc Ordinary Shares (Canada)|NBB||
ELGT|Electric & Gas Technology, Inc. Common Stock|NBB||
ELIAF|Elia System Operator SA/NV, Bruxelles Ordinary Shares (Belgium)|NBB||
ELIN|Elot, Inc. Delaware Common Stock|NBB||
ELKMF|Gold Road Resources Ltd. Ordinary Shares (Australia)|NBB||
ELLG|English Language Learning and Instruction System, Inc. Common Stock|NBB||
ELLHY|Ellies Holdings Limited Sponsored ADR(South Africa)|NBB||
ELLKF|Ellaktor SA Ordinary Shares (Greece)|NBB||
ELLKY|Ellaktor SA Unsponsored ADR (Greece)|NBB||
ELMA|Elmer Bancorp Inc Common Stock|NBB||
ELMTY|Elementis Plc Unsponsored ADR Level 1|NBB||
ELMUF|Elisa Corporation Ordinary Shares A (Finland)|NBB||
ELMUY|Elisa OYJ Unsponsored ADR representing A shares (Finland)|NBB||
ELNCF|Elan Corp Plc Shs (Ireland)|NBB||
ELNEF|Electronics Line 3000 Ltd Ordinary Shares (Israel)|NBB||
ELNOF|El Nino Ventures Inc. New Ordinary Shares (Canada)|NBB||
ELOGF|Eland Oil Shs (United Kingdom)|NBB||
ELOKY|Enel Russia Global Depositary Share (Sponsored) (Russia)|NBB||
ELORY|Elior Unsponsored American Depository Receipt (France)|NBB||
ELOUP|Entergy Louisiana LLC 144A Ser A 6.95%  Cum Preferred Membership Int|NBB||
ELPMF|Eletropaulo Eletricidade Metropolitana de Sao Paulo SA Pfd Shs (Brazil)|NBB||
ELPQF|El Puerto Liverpool Sa Shs 1 Ordinary Shares|NBB||
ELPSF|Enel Green Power S.p.A Ordinary Shares (Italy)|NBB||
ELPSY|Enel Green Power S.p.A Unsponsored ADR (Italy)|NBB||
ELPVY|Companhia Paranaense de Energia Cople Sponsored American Depositary Shares representing Common Shares (brazil)|NBB||
ELRA|Elray Resources, Inc. Common Stock|NBB||
ELRE|Yinfu Gold Corp. Common Stock|NBB||
ELRFF|Eastern Platinum Limited New Ordinary Shares (Canada)|NBB||
ELRMF|Electromagnetic Geoservices ASA Common Shares (Norway)|NBB||
ELRN|Greenwood Hall, Inc. Common Stock|NBB||
ELRNF|Elron Electronic Industries Ltd. Ordinary Shares|NBB||
ELROF|Elior  Ordinary Shares Eur 0,1 (France)|NBB||
ELRRF|Eloro Resources Ltd Ordinary Shares (Canada)|NBB||
ELSBY|Elsburg Gold Mining Ltd    Ord American Depositary Shares|NBB||
ELSO|Elsinore Corp Common Stock|NBB||
ELSRF|Elissa Resources, Ltd. Ordinary Shares (Canada)|NBB||
ELST|Electronic Systems Technology Common Stock|NBB||
ELTLF|Elementos Ltd. Ordinary Shares (Australia)|NBB||
ELTP|Elite Pharmaceuticals, Inc. Common Stock|BB|ACTIVE|
ELUOP|Entergy Louisiana LLC Cum Pfd Membership Int Ser A 6.950%|NBB||
ELUXF|AB Electrolux Ordinary Shares|NBB||
ELUXY|AB Electrolux Class B American Depositary Receipts|NBB||
ELVAF|Evolva Holding AG Namen -AKT- (Switzerland)|NBB||
ELVAY|Evolva Holding SA Sponsored ADR (Switzerland)|NBB||
ELVGF|ETFS Commodity Securities Ltd, St Helier Individual Commodity Securities 2008 - Without Fixed Maturity on Leveraged Natural Gas (Jersey)|NBB||
ELXMF|Ellex Medical Lasers Ltd Ordinary Shares (Australia)|NBB||
ELXPF|Elixir Petroleum Ltd Ordinary Shares (Australia)|NBB||
ELXS|ELXSI Corporation Common Stock|NBB||
ELYGF|Ely Gold & Minerals Inc Ordinary Share (Canada)|NBB||
ELYZP|Callaway Golf Company Perpetual Preferred Convertible Series B|NBB||
EMALF|ETF Metal Securities Ltd St Helier 0% Notes 2007- Without Fixed Maturity on PM Basket (Jersey)|NBB||
EMAV|EMAV Holdings, Inc. Common Stock|NBB||
EMBA|eMamba International Corp. Common Stock|NBB||
EMBFF|Emberclear Corp Ordinary Shares (Canada)|NBB||
EMBR|Embarr Downs, Inc. Common Stock|NBB||
EMBVF|Arca Continental SAB de CV Ordinary Shares (Mexico)|NBB||
EMBVY|Arca Continental SAB de CV Unsponsored ADR (Mexico)|NBB||
EMBYF|Emerald Bay Energy Inc Ordinary Shares|NBB||
EMCHF|Emerchants Ltd. Ordinary Shares (Australia)|NBB||
EMCO|Electric Motors Corporation Common Stock|NBB||
EMCS|Emission Controls Corp Common Stock|NBB||
EMDF|E Med Future, Inc. Common Stock|NBB||
EMDOF|Endomines AB Ordinary Shares (Sweden)|NBB||
EMEXF|Emerald Plantation Holdings Ltd Ordinary Shares (Cayman Islands)|NBB||
EMEZU|EME Reorganization Trust Trust Unit|NBB||
EMGE|Emergent Health Corp. Common Stock|NBB||
EMGL|Empire Global Corp. Common Stock|NBB||
EMGR|E & M Group, Inc. Common Stock|NBB||
EMHI|East Morgan Holdings Inc  Common Stock|NBB||
EMIE|EM International Enterprises Corp Common Stock|NBB||
EMINF|Elemental Minerals Ltd Ordinary Shares (Austrailia)|NBB||
EMIS|Emisphere Technologies, Inc. Common Stock|BB|ACTIVE|
EMJI|Emaji Inc. Common Stock|NBB||
EMLAF|Empire Ltd Class A (Canada)|NBB||
EMLL|El Maniel International, Inc. Common Stock|NBB||
EMMCF|EMC Metals Corp Ordinary Shares (Canada)|NBB||
EMMLF|West African Metals Corp Ordinary Shares (Virgin Islands British)|NBB||
EMNC|E-monee.com, Inc. Common Stock|NBB||
EMNGF|Columbus Copper Corporation Common (Canada)|NBB||
EMNSF|Elementis 1998 Plc Ordinary Shares|NBB||
EMOC|Extreme Motorsports of California Inc New Common Stock|NBB||
EMON|eMONEco, Inc. Common Stock|BB|ACTIVE|
EMOR|Emerald Organic Products Inc. Common Stock|NBB||
EMOT|Electric Moto Corporation Inc (DE) Common Stock|NBB||
EMPK|Empire Bancorp Inc. (NY) Common Stock|NBB||
EMPM|Empire Post Media, Inc. Common|NBB||
EMPO|Empowered Products, Inc. Common|NBB||
EMPR|Empire Petroleum Corporation.  Common Stock|NBB||
EMRAF|Emera Incorporated Ordinary Shares|NBB||
EMRH|Emerging Holdings Inc Common Stock|NBB||
