Symbol|Security Name|Market Category|Status|Test Issue
ABLE|Able Energy, Inc. Common Stock|NBB||
ABLT|American Biltrite Inc. Common Stock|NBB||
ABLYF|Ablynx NV Ordinary Shares (Belgium)|NBB||
ABLZF|Abb Ltd Reg Ordinary Shares|NBB||
ABMBF|Abcourt Mines Inc Cl-B (F) Ordinary Shares|NBB||
ABMC|American Bio Medica Corp. Common Stock|NBB||
ABMLF|Albemarle & Bond Holdings plc Shares -A- (United Kingdom)|NBB||
ABMT|Advanced BioMedical Technologies, Inc. Common Stock|NBB||
ABNAF|Aben Resources, Ltd. Ordinary Shares (Canada)|NBB||
ABNC|American Bancorp, Inc. (LA) Common Stock|NBB||
ABNK|AltaPacific Bancorp Common Stock|NBB||
ABOT|Abot Mining Co Common Stock|NBB||
ABPA|Allegiance Bank of North America (PA) Common Stock|NBB||
ABPI|Accentia Biopharmaceuticals, Inc. Common Stock|NBB||
ABPR|Airborne Security & Protective Services, Inc. New Common Stock|NBB||
ABPTY|Arab Potash Co Ltd 144A|NBB||
ABPZF|Arab Potash Co Ltd Sponsored GDR Reg S (Jordan)|NBB||
ABRDF|Aberdeen New Thai Invt Trust Ordinary Shares (United Kingdom)|NBB||
ABRTY|Abertis Infraestructuras S.A. Unsponsored ADR (Spain)|NBB||
ABRW|American Brewing Co., Inc. Common|BB|ACTIVE|
ABSCF|AB Science, Paris Ordinary Shares (France)|NBB||
ABSOF|ABS-CBN  Holdings Corporation Phillipine Depositary Receipts Representing 1 Share (Phillipines)|NBB||
ABSR|American Business Services Inc. Com|BB|ACTIVE|
ABSSF|Airboss Of America Corp New Ordinary Shares|NBB||
ABSTF|Absolute Invest Ag Zug Shs (Switzerland)|NBB||
ABTO|AB&T Financial Corporation (NC) Common Stock|NBB||
ABTZY|Aboitiz Equity Ventures Inc. Unsponsored ADR (Phillipines)|NBB||
ABWAF|Aditya Birla Minerals Ltd, Pertha WA Ordinary Shares (Australia)|NBB||
ABWG|A.B. Watley Group Inc. Common Stock|NBB||
ABXX|Argan Beauty Corporation Common Stock|BB|ACTIVE|
ABYB|Amboy Bancorporation Common Stock|NBB||
ABYLY|Ablynx NV Sponsored American Depository Receipt (Belgium)|NBB||
ABZPF|Aboitiz Power Corp. Ordinary Shares (Phillippines)|NBB||
ABZPY|Aboitiz Power Corp. Unsponsored ADR (Phillipines)|NBB||
ABZT|Ablaze Technologies, Inc. Common Stock|NBB||
ABZUF|Abzu Gold, Ltd. Ordinary Shares (Canada)|NBB||
ACAL|America California Bank (CA) Common Stock|NBB||
ACAN|Americann, Inc. Common Stock|BB|ACTIVE|
ACAR|Activecare Inc. Common Stock|NBB||
ACAVF|ACE Aviation Holdings Inc Common Shares (Canada)|NBB||
ACAZF|Acadian Timber Corporation Ordinary Shares (Canada)|NBB||
ACBC|Albina Community Bancorp (OR) Common Stock|BB|ACTIVE|
ACBK|American City Bank (Los Angeles, CA) Common Stock|NBB||
ACCA|Acacia Diversified Holdings, Inc. Common Stock|NBB||
ACCCF|Accton Technology Corporation Global Depository Receipt Reg S|NBB||
ACCCY|Accton Technology Corporation Global Depository Receipt 144A|NBB||
ACCDF|Acencia Debt Strategies Ltd. Shs (Guernsey)|NBB||
ACCE|Accres Holding, Inc. Common Stock|NBB||
ACCKF|Amica Mature Lifestyles Inc Ordinary Shares (Canada)|NBB||
ACCPD|PlasmaTech Biopharmaceuticals, Inc. Common Stock|NBB||
ACCR|Access Power, Inc. Common Stock|NBB||
ACCS|African Copper Corporation|NBB||
ACDP|American Community Development, Inc. New Common Stock|NBB||
ACDSF|Ascendas Real Estate Investment Trust Units|NBB||
ACDU|Accredited Business Consolidators Corp. Common Stock|NBB||
ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|NBB||
ACEEU|Ace Ethanol LLC Unit|NBB||
ACEHF|Ace Hardware Indonesia Tbk Ordinary Shares (Indonesia)|NBB||
ACEIY|Acer, Inc. (New) Sponsored Global Depository Receipt 144A|NBB||
ACERF|AM Gold Inc. Ordinary Shares (Canada)|NBB||
ACEYY|Acer, Inc. (New) Sponsored Global Depository Receipt Reg S (Taiwan)|NBB||
ACFDF|ADC African Development Corporation KGAA FRANKFURT AM MAIN SHS ISSUE 10 (DE)|NBB||
ACFFF|Accordia Golf Tr Unit (Singapore)|NBB||
ACFL|AMC Financial Holdings, Inc. Common Stock|NBB||
ACGBF|Agricultural Bank of China Ordinary Shares  SHS H  (China)|NBB||
ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|NBB||
ACGFF|Accordia Golf Co Ltd Ordinary Shares (Japan)|NBB||
ACGFY|Accordia Golf Co Ltd American Depository Shares (Sponsored)|NBB||
ACGI|Amacore Group, Inc. (The) Class A Common Stock|NBB||
ACGJ|ACI Global Corporation Common Stock|NBB||
ACGPF|Accell Group NV Heerenveen Ordinary Shares (Netherlands)|NBB||
